Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,Yes,0,Graduate,No,5849,0,128,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP001006,Male,No,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,No,5417,4196,267,360,1,Urban,Y
LP001013,Female,Yes,0,Graduate,No,2333,1516,95,360,1,Urban,Y
LP001014,Male,Yes,3+,Not Graduate,No,3036,2504,158,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Urban,Y
LP001024,Female,No,0,Graduate,No,3200,0,70,360,1,Semiurban,Y
LP001027,Male,Yes,2,Graduate,No,2500,1840,109,360,1,Semiurban,Y
LP001028,Male,Yes,2,Graduate,Yes,3073,8106,200,360,1,Semiurban,Y
LP001029,Male,Yes,2,Not Graduate,No,1853,2840,114,360,1,Urban,N
LP001032,Male,Yes,1,Graduate,No,1299,1086,17,360,1,Semiurban,N
LP001036,Female,No,0,Graduate,No,4950,0,85,180,1,Semiurban,Y
LP001038,Male,Yes,3+,Not Graduate,No,3596,0,130,360,1,Semiurban,Y
LP001043,Female,No,0,Not Graduate,No,3510,0,76,360,0,Urban,N
LP001046,Male,Yes,0,Graduate,No,4887,0,133,360,1,Semiurban,Y
LP001047,Male,Yes,0,Not Graduate,No,1365,0,67,360,1,Rural,N
LP001050,Male,Yes,3+,Graduate,No,8747,0,144,360,1,Semiurban,Y
LP001052,Male,No,0,Graduate,No,3069,0,116,360,1,Urban,Y
LP001066,Female,No,0,Graduate,No,2079,0,65,360,1,Semiurban,Y
LP001068,Male,Yes,1,Graduate,No,3583,0,96,360,1,Urban,Y
LP001073,Male,Yes,1,Graduate,Yes,10513,3850,380,360,1,Urban,Y
